target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0x92e9b91aa2171694d740e7066f787739ca1af9de,1.798891625166417,1,224,203,131,104
0xa99ca1caa0a27465fe8d9821db978e778da91fd0,1.7988453333394483,2,25,25,11,9
0xdb5cf3013a437ce5437b241b9f39b04f5d0bbb71,1.7988039386383412,3,88,83,49,40
0xc30ea36667fdaffd9bc43b89af8818deba5a29ad,1.7986491651129584,4,163,145,93,75
0xda9f28a1b0ce18b011a404f3372d98c3e3143569,1.798572528082158,5,64,55,28,19
0x6eb534ed1329e991842b55be375abc63fe7c0e2b,1.7985207337217102,6,49,48,28,23
0xadb040f4f27ea941bccac56b763f577da2ed0311,1.798478053486506,7,96,81,67,61
0xf2e8f75eaa752f7c64f1f8a9a5a77517243db990,1.7981325883008052,8,91,80,62,41
0xa2640cf59dd3f7a0174717926857a545656885ab,1.7981294010076403,9,157,137,49,38
0x80b71f0eb5f6891f104e9bd161407ad0c444ea22,1.7980605630857072,10,47,42,25,17
0x446bfbb5185d79dbbfdb77f9ca81c51409c0480b,1.7978147617877622,11,37,34,19,15
0x86a41524cb61edd8b115a72ad9735f8068996688,1.7975659380278892,12,76,68,35,24
0x99ec9e66a0e1852baf525b9ae31eaec9db105a0b,1.7969559961441155,13,26,25,1,0
0xb49d316d771b9dafb432bd854cc6869c565f6eb3,1.796820263320403,14,55,52,20,6
0x38039da6bc26c101316af426cbf7f43834957c46,1.796691746109596,15,23,23,0,0
0xe315eb04fc42bea83ed213582e66051050a92f1c,1.7965394271180364,16,55,51,13,7
0xd32ac78360f785dcc2585e4312ff8d2e45dc03c2,1.7965232313030408,17,39,37,6,3
0x88889778402dcf6cf363bb9ac47f7a2d8e77a2af,1.796477942990983,18,103,99,32,24
0xb67d047c882417bcef7606976dbcc9b99072a331,1.7964095457620768,19,52,50,35,28
0x4f1c249294f87e8bed08e8f6052a8698a5dc2730,1.796273292253994,20,40,37,24,16
0xc45bdfa5913701ccfa9a45480850f84c6eee61f9,1.7962012672699026,21,56,49,25,16
0x8bb69d933b031d541613ca5886123ca9572c5e82,1.7958630490456988,22,53,45,28,19
0xa7f059f678e367d5aa12b3f565c630fc7724b86d,1.7957224820432645,23,25,25,6,3
0xe4d7ee76539886cf5f919a91fa48e867d6c98a51,1.7957037841738184,24,40,38,17,12
0x7200ef22d5e2052f8336dcff51dd08119aface87,1.7956898634886032,25,34,33,15,8
