target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0xcda72070e455bb31c7690a170224ce43623d0b6f,1.0,1,14179,10482,3728,1355
0x592814ff14e030b51f6087032db0f88f4214f254,0.9998318409215118,2,69,67,21,15
0xc4c6c27b2259794a1dd35d438e703281c0e4a004,0.999369403455669,3,922,826,500,435
0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,0.9989490057594484,4,776,744,512,449
0xb7af436ed99654fae6c6faa6c627ba598d3a2bce,0.9989490057594484,5,668,637,462,333
0xb618aacb9dcdc21ca69d310a6fc04674d293a193,0.998654727372094,6,69,63,25,16
0x550e970e31a45b06df01a00b1c89a478d4d5e00a,0.9985286080632276,7,83,82,28,17
0x730aba725664974efb753ee72ca789541c733db4,0.9983184092151176,8,515,501,368,335
0x43716e58827d9f249fdde153a0a4827d0ce0a725,0.9981922899062512,9,33,29,28,20
0xb585b60de71e48032e8c19b90896984afc6a660d,0.998024130827763,10,632,601,312,271
0x2d62b7b4ab2aea16f53f78af3544088300040126,0.997982091058141,11,54,50,29,19
0xf1e1c701b49b1dc2405a9e8ef40f9f88802b80fa,0.9976878126707864,12,155,149,57,24
0x2a878245b52a2d46cb4327541cbc96e403a84791,0.9975616933619204,13,203,164,119,85
0xc2978441f46a76c60e0cd59e986498b75a40572d,0.9975616933619204,14,658,628,439,399
0x41a420856b3828462ea555c736caa93ccf022391,0.9970992558960776,15,108,96,52,34
0xf2439241881964006369c0e2377d45f3740f48a0,0.9970151763568336,16,232,212,165,135
0x5fd2c02689d138547b7b1b9e7d9a309d5a03edcd,0.9968890570479672,17,165,152,106,83
0xefc8a4ad63faf1c9c1e9529f10daf3ec33621fa6,0.9964686593517468,18,17,17,14,9
0xc72f40a397453051349f73cf2e2a04fac06e37a3,0.9963005002732584,19,270,246,107,76
0x6527c94b30060a463159b291160651292c1b7855,0.996048261655526,20,1103,942,592,566
0x1c5762f9899b46c19d4c9b8fbdd38d35856227f3,0.9957119434985496,21,112,110,77,40
0xab906639403b15510a8d5e0318a590da66465268,0.9952074662630848,22,627,593,444,403
0xadc3546ea680e21afa7d5d45dcd03f2f8957241a,0.9950393071845968,23,107,103,46,34
