target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0xab906639403b15510a8d5e0318a590da66465268,5.38535218916901,1,627,593,444,403
0xc2978441f46a76c60e0cd59e986498b75a40572d,5.38535218916901,2,658,628,439,399
0x6527c94b30060a463159b291160651292c1b7855,5.38535218916901,3,1103,942,592,566
0x3fbe2fd902d278e3f05575149505f998445ea4b0,5.359379955185982,4,425,413,339,319
0xcda72070e455bb31c7690a170224ce43623d0b6f,5.32589611050243,5,14179,10482,3728,1355
0x9ab17bdaa2ab4a70aedd11a2a2641a14d5b23ddb,5.299633303089252,6,416,388,259,225
0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,5.260872010718189,7,776,744,512,449
0xb585b60de71e48032e8c19b90896984afc6a660d,5.260872010718189,8,632,601,312,271
0xb7af436ed99654fae6c6faa6c627ba598d3a2bce,5.156507972873806,9,668,637,462,333
0x0f8176c597aa2136b54bca3f10e098c668fa2ccb,5.149366961246585,10,946,918,299,251
0x5fd2c02689d138547b7b1b9e7d9a309d5a03edcd,5.140433555027787,11,165,152,106,83
0xc4c6c27b2259794a1dd35d438e703281c0e4a004,5.130611043380514,12,922,826,500,435
0xfd2204757ab46355e60251386f823960acccefe7,5.122011666056647,13,536,518,469,441
0xf9117ae62fc43605b12b98c527bac262bb517461,5.068384504802187,14,155,151,131,119
0xf3fbb2c0a711529ef9b81fe59a5ef5b8f1e0eb27,4.959884727279197,15,545,524,244,204
0x66194a01a2b741bd6656eb7a5ba923900760676f,4.95954911864333,16,406,400,244,232
0x7ef61cacd0c785eacdfe17649d1c5bcba676a858,4.897589089538367,17,643,580,359,291
0x7fc9435a996e6f07e75c244bd9f345faaf81af8c,4.895639775138783,18,457,430,271,253
0xa7fb80b759ea191c19720f531398663b298455fd,4.89027547464883,19,169,163,124,108
0x445816ca9bb0146940b802d49ce146787c73b5ca,4.87214700612486,20,563,533,314,284
0x7abca3cbc8aa182d10f742f72e2e8bc68c4a8839,4.867997988782953,21,256,244,108,94
0xc7d0445ac2947760b3dd388b8586adf079972bf3,4.839878398411442,22,85,83,9,4
0xeb6bc3940c9fe8d7a90baeb168f64f2fecd9a5ce,4.828167742235839,23,458,437,309,277
0x16c992e55b4f0d8ebf5973daec2ceb882c86fd17,4.810378796594219,24,281,258,168,152
0x730aba725664974efb753ee72ca789541c733db4,4.79378464429874,25,515,501,368,335
0xb085030e936a9d564f4f159f390e1bc2b4473804,4.792474319559512,26,300,257,197,162
0xafd1e0562c91a933f4b40154045cee71939e95ea,4.787275556926636,27,320,312,171,139
0xc3503192343eae4b435e4a1211c5d28bf6f6a696,4.778033115038579,28,742,439,303,133
0x85026596042cf8cab1b521bcca86c56cf2d2ecae,4.772872466358238,29,398,384,313,293
0x01fb51f8a664f0f2b7cf8f6eee89f7c1b7e05ba1,4.752770079457609,30,112,92,49,45
0x41a420856b3828462ea555c736caa93ccf022391,4.752074756132689,31,108,96,52,34
0x61fd0d043d519f5a2bd05785000f30db96809429,4.728280283683748,32,420,406,334,312
0x3fb65feeab83bf60b0d1ffbc4217d2d97a35c8d4,4.685427712922873,33,580,541,296,247
0xc2b2568982707e9691dce7bb23501071bc06f415,4.657073549826806,34,297,255,180,166
0x1ad42fb475192c8c0a2fc7d0df6fac4f71142c58,4.654339094635698,35,229,224,100,83
0xc9c6e823d0fe7e9496328da8f75294e12b5a6998,4.650216268329422,36,161,155,145,136
0x224e69025a2f705c8f31efb6694398f8fd09ac5c,4.644969399054748,37,351,276,230,126
0x40a47a0beabb373ffe090c9233eb4126dbaba882,4.625496340125138,38,529,496,310,292
0x2c402ac1a8a870c3f12daba650a56a714e0b9692,4.622791799056707,39,43,42,15,12
0x2f2fc34e798a5884efb4022c8caa402baf94c35f,4.60431655529559,40,218,197,135,111
0x0338ce5020c447f7e668dc2ef778025ce398266b,4.598335915733087,41,645,623,335,314
0xf56562a7e747d58e31e9a1043d47ecbe4876c6dd,4.598335915733087,42,479,465,183,164
0x431973b9593a6f273512008670979d32ce4f756d,4.59756788264999,43,191,185,161,147
0x56e106c1aa3ba30888a6c6a577ac895bb01111ac,4.5957009790145005,44,166,143,62,29
0x74ac45c146bcaa47a227c87a32860eb8ac3e57c4,4.591751841454273,45,269,260,140,112
0x92e9b91aa2171694d740e7066f787739ca1af9de,4.58752030681035,46,224,203,131,104
0xdb5f98d56f9731d265cd1ed771ecd4abfafc3902,4.581784013920081,47,501,485,183,153
0x1a2be848d7958570966cc20b1c521d8945cda8c1,4.575936702257112,48,263,235,193,157
0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b,4.540082674500814,49,308,281,220,144
0xf2439241881964006369c0e2377d45f3740f48a0,4.533253171989413,50,232,212,165,135
